ID1,ID2,total_ibd_length,proportion_ibd
AG0121-C_bissau,AG0231-C_bissau,801506,0.015065708553671979
AG0121-C_bissau,AG0442-CW_bissau,5544983,0.10422766368943677
AG0121-C_bissau,AG0445-CW_bissau,1235856,0.023230077267427613
AG0121-C_bissau,AG0446-CW_bissau,1715139,0.032239040385270236
AG0121-C_bissau,AG0450-CW_bissau,1576869,0.029640013650952306
AG0121-C_bissau,AG0454-CW_bissau,6531317,0.1227675381015778
AG0123-C_bissau,AG0085-C_bissau,15118559,0.28417978610951694
AG0123-C_bissau,AG0128-C_bissau,1029661,0.01935428123442924
AG0123-C_bissau,AG0152-C_bissau,762077,0.014324571466036037
AG0123-C_bissau,AG0156-C_bissau,773374,0.014536918359921838
AG0123-C_bissau,AG0169-C_bissau,791469,0.014877045565805132
AG0123-C_bissau,AG0170-C_bissau,2072598,0.038958108132594683
AG0123-C_bissau,AG0183-C_bissau,720358,0.013540389819048192
AG0123-C_bissau,AG0197-C_bissau,3002768,0.05644228183231629
AG0123-C_bissau,AG0203-C_bissau,1476555,0.027754436390329117
AG0123-C_bissau,AG0204-C_bissau,3176028,0.05969900687743037
AG0123-C_bissau,AG0214-C_bissau,799425,0.01502659251523909
AG0123-C_bissau,AG0221-C_bissau,1568220,0.029477440553207925
AG0123-C_bissau,AG0226-C_bissau,781948,0.014698081701355569
AG0123-C_bissau,AG0442-CW_bissau,1474811,0.027721654856918757
AG0123-C_bissau,AG0446-CW_bissau,931653,0.017512049281170897
AG0124-C_bissau,AG0111-C_bissau,484308,0.0091034167906563
AG0124-C_bissau,AG0197-C_bissau,786834,0.01478992262580684
AG0124-C_bissau,AG0203-C_bissau,5429518,0.10205729685731109
AG0124-C_bissau,AG0446-CW_bissau,516934,0.009716679582540706
AG0124-C_bissau,AG0454-CW_bissau,1120750,0.021066458468842243
AG0127-C_bissau,AG0082-C_bissau,2650787,0.04982618268592186
AG0127-C_bissau,AG0144-C_bissau,1187573,0.02232251374813151
AG0127-C_bissau,AG0156-C_bissau,1475584,0.027736184745293876
AG0127-C_bissau,AG0197-C_bissau,1032588,0.019409299324046284
AG0127-C_bissau,AG0203-C_bissau,2644329,0.04970479326919932
AG0127-C_bissau,AG0204-C_bissau,3018666,0.056741112576672886
AG0127-C_bissau,AG0221-C_bissau,1795262,0.033745092450315116
AG0127-C_bissau,AG0442-CW_bissau,500637,0.009410348934611443
AG0127-C_bissau,AG0446-CW_bissau,770066,0.014474738708246683
AG0127-C_bissau,AG0450-CW_bissau,3304212,0.06210844958309183
AG0127-C_bissau,AG0454-CW_bissau,552559,0.01038631383010038
AG0128-C_bissau,AG0111-C_bissau,793692,0.014918830742852855
AG0128-C_bissau,AG0124-C_bissau,2168746,0.04076537812934886
AG0128-C_bissau,AG0127-C_bissau,1197892,0.022516477419726406
AG0128-C_bissau,AG0144-C_bissau,1099022,0.02065804266727097
